sign_positions,steps,step_wise_walking_positions,step_wise_attentions,step_wise_walking_speeds,step_wise_reading_ratios,step_wise_reading_progress
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[0.15000000000000002, 1.5, 2.85, 3.0, 3.15, 3.3, 4.65, 6.0, 7.35, 8.7, 10.049999999999999, 10.2, 10.35, 10.5, 11.85, 13.2, 14.549999999999999, 15.899999999999999, 17.25, 17.4, 17.549999999999997, 17.699999999999996, 19.049999999999997, 20.4, 21.75, 23.1, 24.450000000000003, 24.6, 24.75, 24.9, 26.25, 27.6, 28.950000000000003, 30.300000000000004, 31.650000000000006, 33.00000000000001, 33.150000000000006, 33.300000000000004, 33.45, 34.800000000000004, 36.150000000000006, 37.50000000000001, 38.85000000000001, 40.20000000000001, 40.35000000000001, 40.50000000000001, 41.25000000000001, 42.60000000000001, 43.95000000000001, 45.30000000000001, 46.65000000000001, 48.000000000000014, 48.15000000000001, 48.30000000000001, 49.65000000000001, 51.000000000000014, 52.350000000000016, 53.70000000000002, 55.05000000000002, 55.20000000000002, 55.95000000000002, 57.30000000000002, 58.65000000000002, 60.00000000000002]","['nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment']","[0.1, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.5, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.5, 0.9, 0.9, 0.9]","[0.7, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3]","[0, 0, 0, 0, 0, 1.4, 2.0, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 4.0, 4.6, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 6.6, 7.199999999999999, 7.799999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 9.799999999999999, 10.399999999999999, 10.999999999999998, 11.599999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 13.599999999999998, 14.199999999999998, 14.799999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 16.799999999999997, 17.4, 18.0, 18.6, 18.6, 18.6, 18.6, 18.6, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[0.15000000000000002, 1.5, 2.85, 3.0, 3.15, 3.3, 4.65, 6.0, 7.35, 8.7, 10.049999999999999, 10.2, 10.35, 10.5, 11.85, 13.2, 14.549999999999999, 15.899999999999999, 17.25, 17.4, 17.549999999999997, 17.699999999999996, 19.049999999999997, 20.4, 21.75, 23.1, 24.450000000000003, 24.6, 24.75, 24.9, 26.25, 27.6, 28.950000000000003, 30.300000000000004, 31.650000000000006, 33.00000000000001, 33.150000000000006, 33.300000000000004, 33.45, 34.800000000000004, 36.150000000000006, 37.50000000000001, 38.85000000000001, 40.20000000000001, 40.35000000000001, 40.50000000000001, 41.25000000000001, 42.60000000000001, 43.95000000000001, 45.30000000000001, 46.65000000000001, 48.000000000000014, 48.15000000000001, 48.30000000000001, 49.65000000000001, 51.000000000000014, 52.350000000000016, 53.70000000000002, 55.05000000000002, 55.20000000000002, 55.95000000000002, 57.30000000000002, 58.65000000000002, 60.00000000000002]","['nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment']","[0.1, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.5, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.5, 0.9, 0.9, 0.9]","[0.7, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3]","[0, 0, 0, 0, 0, 1.4, 2.0, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 4.0, 4.6, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 6.6, 7.199999999999999, 7.799999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 9.799999999999999, 10.399999999999999, 10.999999999999998, 11.599999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 13.599999999999998, 14.199999999999998, 14.799999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 16.799999999999997, 17.4, 18.0, 18.6, 18.6, 18.6, 18.6, 18.6, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[0.15000000000000002, 1.5, 2.85, 3.0, 3.15, 3.3, 4.65, 6.0, 7.35, 8.7, 10.049999999999999, 10.2, 10.35, 10.5, 11.85, 13.2, 14.549999999999999, 15.899999999999999, 17.25, 17.4, 17.549999999999997, 17.699999999999996, 19.049999999999997, 20.4, 21.75, 23.1, 24.450000000000003, 24.6, 24.75, 24.9, 26.25, 27.6, 28.950000000000003, 30.300000000000004, 31.650000000000006, 33.00000000000001, 33.150000000000006, 33.300000000000004, 33.45, 34.800000000000004, 36.150000000000006, 37.50000000000001, 38.85000000000001, 40.20000000000001, 40.35000000000001, 40.50000000000001, 41.25000000000001, 42.60000000000001, 43.95000000000001, 45.30000000000001, 46.65000000000001, 48.000000000000014, 48.15000000000001, 48.30000000000001, 49.65000000000001, 51.000000000000014, 52.350000000000016, 53.70000000000002, 55.05000000000002, 55.20000000000002, 55.95000000000002, 57.30000000000002, 58.65000000000002, 60.00000000000002]","['nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment']","[0.1, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.5, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.5, 0.9, 0.9, 0.9]","[0.7, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3]","[0, 0, 0, 0, 0, 1.4, 2.0, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 4.0, 4.6, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 6.6, 7.199999999999999, 7.799999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 9.799999999999999, 10.399999999999999, 10.999999999999998, 11.599999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 13.599999999999998, 14.199999999999998, 14.799999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 16.799999999999997, 17.4, 18.0, 18.6, 18.6, 18.6, 18.6, 18.6, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[0.15000000000000002, 1.5, 2.85, 3.0, 3.15, 3.3, 4.65, 6.0, 7.35, 8.7, 10.049999999999999, 10.2, 10.35, 10.5, 11.85, 13.2, 14.549999999999999, 15.899999999999999, 17.25, 17.4, 17.549999999999997, 17.699999999999996, 19.049999999999997, 20.4, 21.75, 23.1, 24.450000000000003, 24.6, 24.75, 24.9, 26.25, 27.6, 28.950000000000003, 30.300000000000004, 31.650000000000006, 33.00000000000001, 33.150000000000006, 33.300000000000004, 33.45, 34.800000000000004, 36.150000000000006, 37.50000000000001, 38.85000000000001, 40.20000000000001, 40.35000000000001, 40.50000000000001, 41.25000000000001, 42.60000000000001, 43.95000000000001, 45.30000000000001, 46.65000000000001, 48.000000000000014, 48.15000000000001, 48.30000000000001, 49.65000000000001, 51.000000000000014, 52.350000000000016, 53.70000000000002, 55.05000000000002, 55.20000000000002, 55.95000000000002, 57.30000000000002, 58.65000000000002, 60.00000000000002]","['nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment']","[0.1, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.5, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.5, 0.9, 0.9, 0.9]","[0.7, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3]","[0, 0, 0, 0, 0, 1.4, 2.0, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 4.0, 4.6, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 6.6, 7.199999999999999, 7.799999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 9.799999999999999, 10.399999999999999, 10.999999999999998, 11.599999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 13.599999999999998, 14.199999999999998, 14.799999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 16.799999999999997, 17.4, 18.0, 18.6, 18.6, 18.6, 18.6, 18.6, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003]"
"[3.5, 11, 18.5, 26, 33.5, 41, 48.5, 56]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[0.15000000000000002, 1.5, 2.85, 3.0, 3.15, 3.3, 4.65, 6.0, 7.35, 8.7, 10.049999999999999, 10.2, 10.35, 10.5, 11.85, 13.2, 14.549999999999999, 15.899999999999999, 17.25, 17.4, 17.549999999999997, 17.699999999999996, 19.049999999999997, 20.4, 21.75, 23.1, 24.450000000000003, 24.6, 24.75, 24.9, 26.25, 27.6, 28.950000000000003, 30.300000000000004, 31.650000000000006, 33.00000000000001, 33.150000000000006, 33.300000000000004, 33.45, 34.800000000000004, 36.150000000000006, 37.50000000000001, 38.85000000000001, 40.20000000000001, 40.35000000000001, 40.50000000000001, 41.25000000000001, 42.60000000000001, 43.95000000000001, 45.30000000000001, 46.65000000000001, 48.000000000000014, 48.15000000000001, 48.30000000000001, 49.65000000000001, 51.000000000000014, 52.350000000000016, 53.70000000000002, 55.05000000000002, 55.20000000000002, 55.95000000000002, 57.30000000000002, 58.65000000000002, 60.00000000000002]","['nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'text words on the OHMD', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'text words on the OHMD', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment', 'sign in the environment', 'sign in the environment', 'sign in the environment', 'nothing in the environment', 'nothing in the environment', 'nothing in the environment']","[0.1, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.5, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.1, 0.9, 0.9, 0.9, 0.9, 0.9, 0.1, 0.5, 0.9, 0.9, 0.9]","[0.7, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3, 0.3, 0.3, 0.7, 0.7, 0.3, 0.3, 0.3]","[0, 0, 0, 0, 0, 1.4, 2.0, 2.6, 2.6, 2.6, 2.6, 2.6, 2.6, 4.0, 4.6, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 5.199999999999999, 6.6, 7.199999999999999, 7.799999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 8.399999999999999, 9.799999999999999, 10.399999999999999, 10.999999999999998, 11.599999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 12.199999999999998, 13.599999999999998, 14.199999999999998, 14.799999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 15.399999999999997, 16.799999999999997, 17.4, 18.0, 18.6, 18.6, 18.6, 18.6, 18.6, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003, 19.200000000000003]"
